,sample.id,stream,block,species,mesh.type,year,date.deploy,date.collected,intitial.dry.mass.g,days.incubated,final.dry.mass.g,Tin.ID,tin.mass.g,tin.drymass.g,tin.ash.mass.g,month.collected,year.collected,leaf.dm.g,fung.biom.mg,fungal.biom.mg.g.afdm,init.dry_hl,init.afdm.g,tin.afdm.g,prop.afdm,final.drymass.gb,final.afdm.g,final.afdm.fbsub.g,final.afdm.gfb,mass.loss.g,pct.mass.remain,ln.pct.mass.remain,interval,mean.temp
156,W157,WS55,4,RHODO,Coarse,pre1,11/27/2017,5/8/2018,10.03,162,7.65,,3.6044,11.1796,4.1639,5,2018,0.0982,1.62,18.3,9.2525,8.738697567,7.0157,0.926140564,7.65,7.084975314,0.090947003,7.175922318,1.562775249,81.07587269,4.395385416,NA,NA
157,W158,WS55,4,RHODO,Coarse,pre1,11/27/2017,5/8/2018,9.95,162,6.92,,3.5314,10.4567,3.9883,5,2018,0.1729,3.98,25.6,9.1725,8.663140063,6.4684,0.934024519,6.92,6.46344967,0.161492839,6.624942509,2.038197554,74.60862485,4.312256115,NA,NA
158,W159,WS55,4,RHODO,Coarse,pre1,11/27/2017,5/8/2018,10.08,162,7.07,,3.5521,10.6009,3.992,5,2018,0.1027,2.33,25.21,9.3025,8.785921007,6.6089,0.937592214,7.07,6.628776955,0.09629072,6.725067675,2.060853332,75.44771857,4.323439947,NA,NA
159,W160,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,9.94,7,9.12,,3.6796,10.6775,3.9837,12,2017,NA,NA,NA,9.1625,8.653695375,6.6938,0.956544106,9.12,8.723682248,NA,8.723682248,-0.069986873,100.8087513,4.61322517,NA,NA
160,W161,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,10.05,7,9.2,,3.6805,9.0904,3.946,12,2017,NA,NA,NA,9.2725,8.757586943,5.1444,0.950923307,9.2,8.748494427,NA,8.748494427,0.009092516,99.89617556,4.604131402,NA,NA
161,W162,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,10.03,7,9.22,,3.6233,10.0151,3.9692,12,2017,NA,NA,NA,9.2525,8.738697567,6.0459,0.945883789,9.22,8.721048531,NA,8.721048531,0.017649036,99.79803585,4.603148502,NA,NA
162,W163,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,9.98,149,8.04,,3.554,8.4143,3.8627,4,2018,NA,NA,NA,9.2025,8.691474127,4.5516,0.936485402,8.04,7.529342633,NA,7.529342633,1.162131494,86.62906342,4.461635365,NA,NA
163,W164,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,9.93,149,7.87,,3.5137,7.4026,3.7694,4,2018,NA,NA,NA,9.1525,8.644250687,3.6332,0.934248759,7.87,7.352537736,NA,7.352537736,1.291712951,85.05697026,4.44332127,NA,NA
164,W165,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,10,149,7.85,,3.5174,10.994,3.9996,4,2018,NA,NA,NA,9.2225,8.710363503,6.9944,0.935505444,7.85,7.343717733,NA,7.343717733,1.36664577,84.31011783,4.43450188,NA,NA
165,W166,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,10.03,149,8.1,,3.6564,7.5032,3.9089,4,2018,NA,NA,NA,9.2525,8.738697567,3.5943,0.934361027,8.1,7.568324322,NA,7.568324322,1.170373245,86.60700595,4.461380712,NA,NA
